Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),PLENUM-1:Zone Air Temperature [C](TimeStep),SPACE1-1:Zone Air Temperature [C](TimeStep),SPACE2-1:Zone Air Temperature [C](TimeStep),SPACE3-1:Zone Air Temperature [C](TimeStep),SPACE4-1:Zone Air Temperature [C](TimeStep),SPACE5-1:Zone Air Temperature [C](TimeStep) 
 06/01  02:15:00,18.2,20.7360135275212,20.3952699462918,20.3955993714209,20.3863259952956,20.4379340573763,20.7818000973996 
 06/01  02:16:00,18.2,20.7314672148114,20.3951883517403,20.395588489412,20.3862959245581,20.4374966443022,20.7802491125594 
 06/01  02:17:00,18.2,20.7269656504531,20.3951046382375,20.3955761362145,20.3862632133148,20.4370620505796,20.7787099319364 
 06/01  02:18:00,18.2,20.7225101304526,20.3950189214084,20.3955623630199,20.386227987328,20.4366302844433,20.7771825493594 
 06/01  02:19:00,18.2,20.7180984526481,20.3949312981859,20.3955472076464,20.3861903527746,20.4362013411744,20.7756669148664 
 06/01  02:20:00,18.2,20.7137317811945,20.3948418528297,20.39553069881,20.3861504021768,20.4357752073884,20.77416300574 
 06/01  02:21:00,18.2,20.7094079076047,20.3947506560955,20.3955128562366,20.3861082139142,20.4353518611211,20.7726707580232 
 06/01  02:22:00,18.2,20.7051278951224,20.3946577702608,20.3954936940444,20.3860638571351,20.4349312752264,20.7711901352303 
 06/01  02:23:00,18.2,20.7008895545189,20.3945632476919,20.3954732202732,20.3860173906303,20.4345134168817,20.769721062009 
 06/01  02:24:00,18.2,20.6966938720488,20.3944671351875,20.3954514396877,20.3859688670408,20.434098250405,20.7682634905564 
 06/01  02:25:00,18.2,20.6925386935811,20.394369472176,20.3954283529543,20.3859183313323,20.4336857364091,20.7668173363768 
 06/01  02:26:00,18.2,20.6884776192102,20.3942750527942,20.3954084727135,20.3858703624922,20.433281236868,20.7653971719294 
 06/01  02:27:00,18.2,20.6844315753097,20.394177863452,20.3953860333526,20.3858192411289,20.4328778284392,20.7639827424177 
 06/01  02:28:00,18.2,20.6804499202984,20.394081352641,20.3953642469479,20.3857682552079,20.4324793447576,20.7625870334735 
 06/01  02:29:00,18.2,20.6764708346731,20.3939806337166,20.3953384631212,20.3857127541173,20.4320801763244,20.7611936882069 
 06/01  02:30:00,18.2,20.6725534280865,20.393880178135,20.3953129026829,20.3856570001908,20.431685331846,20.7598179933114 
 06/01  02:31:00,18.2,20.6686404629428,20.3937756812567,20.3952834825775,20.3855968972129,20.4312898747655,20.7584447969981 
 06/01  02:32:00,18.2,20.6647899870568,20.3936716538549,20.3952544563027,20.3855367458859,20.4308988531064,20.7570892437071 
 06/01  02:33:00,18.2,20.6609449908618,20.3935638215572,20.3952217642691,20.3854724786788,20.4305073681812,20.755736341565 
 06/01  02:34:00,18.2,20.6571619004987,20.3934565720011,20.395189537148,20.3854082795739,20.4301203228245,20.7544008949666 
 06/01  02:35:00,18.2,20.6533844174505,20.3933456627752,20.3951537450729,20.3853401110225,20.4297328605533,20.7530681299833 
 06/01  02:36:00,18.2,20.649667835276,20.3932353961151,20.395118436377,20.3852720760562,20.429349784362,20.7517525894313 
 06/01  02:37:00,18.2,20.6460094599079,20.3931266623887,20.3950844665125,20.3852050438101,20.4289719921609,20.7504542178161 
 06/01  02:38:00,18.2,20.6423942452529,20.3930180159443,20.3950504106309,20.3851376422847,20.4285977835759,20.7491685868005 
 06/01  02:39:00,18.2,20.6388222930282,20.3929081708189,20.3950149990802,20.3850686459232,20.4282256544447,20.7478928739582 
