Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),COOLSYS1 DEMAND INLET PIPE:Pipe Inlet Temperature [C](TimeStep),COOLSYS1 DEMAND INLET PIPE:Pipe Outlet Temperature [C](TimeStep),COOLSYS1 DEMAND OUTLET PIPE:Pipe Inlet Temperature [C](TimeStep),COOLSYS1 DEMAND OUTLET PIPE:Pipe Outlet Temperature [C](TimeStep),Whole Building:Facility Total Building Electric Demand Power [W](TimeStep),Whole Building:Facility Total HVAC Electric Demand Power [W](TimeStep),Facility:Facility Thermal Comfort ASHRAE 55 Simple Model Summer Clothes Not Comfortable Time [hr](TimeStep),Facility:Facility Thermal Comfort ASHRAE 55 Simple Model Winter Clothes Not Comfortable Time [hr](TimeStep),Facility:Facility Thermal Comfort ASHRAE 55 Simple Model Summer or Winter Clothes Not Comfortable Time [hr](TimeStep),CAV_1_FAN:Fan Electric Power [W](TimeStep),CAV_2_FAN:Fan Electric Power [W](TimeStep),VAV_1_FAN:Fan Electric Power [W](TimeStep),VAV_2_FAN:Fan Electric Power [W](TimeStep),COOLSYS1 CHILLER:Plant Temperature Source Component Mass Flow Rate [kg/s](TimeStep),COOLSYS1 CHILLER:Plant Temperature Source Component Inlet Temperature [C](TimeStep),COOLSYS1 CHILLER:Plant Temperature Source Component Outlet Temperature [C](TimeStep),COOLSYS1 CHILLER:Plant Temperature Source Component Heat Transfer Rate [W](TimeStep) 
 06/08  03:06:00,22.15,6.71080498604073,6.72202441294001,12.6025073087215,12.5883384989575,303269.411658729,117322.535056156,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,57.0907820485562,12.5824165622935,6.7,-1409022.4567652 
 06/08  03:07:00,22.1416666666667,6.7108061076876,6.7220239902067,12.6032933263815,12.5887725494736,303268.986811403,117322.481714796,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,57.0985025154092,12.5828016762984,6.7,-1409305.26016102 
 06/08  03:08:00,22.1333333333333,6.71080724455188,6.72202350563887,12.6038809852765,12.5892076206627,303268.458932999,117322.449731303,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,57.1049726907646,12.5831899380514,6.7,-1409557.98096216 
 06/08  03:09:00,22.125,6.71080839635198,6.72202298778556,12.6043049561553,12.5896449377579,303268.043404711,117322.432699339,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,57.1105972665636,12.5835812468043,6.7,-1409790.57910451 
 06/08  03:10:00,22.1166666666667,6.71080956281611,6.72202246920429,12.6045848273668,12.5900865447037,303267.61668225,117322.426216905,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,57.1152750244465,12.5839756117231,6.7,-1410000.55406532 
 06/08  03:11:00,22.1083333333333,6.71081074370924,6.72202198083277,12.6047663135445,12.5905354773745,303267.181159794,117322.427220763,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,57.1191495618658,12.5843732010998,6.7,-1410191.48687498 
 06/08  03:12:00,22.1,6.71081193887494,6.722021549611,12.6048289910731,12.5909958116255,303266.737750901,117322.43356011,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,57.1224037061155,12.5847743971118,6.7,-1410367.9793215 
 06/08  03:13:00,22.0916666666667,6.71081314828217,6.72202119925275,12.6048186332226,12.5914725346543,303266.286787826,117322.443715257,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,57.1250812453841,12.5851798432802,6.7,-1410531.26387262 
 06/08  03:14:00,22.0833333333333,6.7108143720788,6.72202094682342,12.6047636285414,12.5919712223737,303265.829054966,117322.456607709,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,57.1273585727247,12.5855904750735,6.7,-1410685.91774313 
 06/08  03:15:00,22.075,6.71081561064411,6.72202080626414,12.604635701442,12.5924975378142,303265.365075274,117322.471469765,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,57.12916719524,12.586007522232,6.7,-1410830.54230976 
 06/08  03:16:00,22.0666666666667,6.71081686463478,6.72202078592916,12.6044531042867,12.5930566128248,303264.895572592,117322.487753839,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,57.1305799015369,12.5864324758387,6.7,-1410967.29034488 
 06/08  03:17:00,22.0583333333333,6.71081813501944,6.72202088840274,12.6042477439262,12.5936523931577,303264.421278113,117322.505068838,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,57.1317031159477,12.586867018425,6.7,-1411099.19175896 
 06/08  03:18:00,22.05,6.71081942308835,6.72202111391485,12.60397990159,12.5942870382125,303263.942436575,117322.523135215,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,57.1324822424305,12.5873129180037,6.7,-1411225.32033535 
 06/08  03:19:00,22.0416666666667,6.71082073043782,6.72202145812571,12.603677155999,12.5949604643545,303263.459509205,117322.541753069,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,57.1330428080037,12.5877718962157,6.7,-1411349.18782085 
 06/08  03:20:00,22.0333333333333,6.7108220589266,6.72202191299049,12.6033851154688,12.5956700884166,303263.070831469,117322.56077944,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,57.1335092810196,12.5882454830307,6.7,-1411474.23476492 
 06/08  03:21:00,22.025,6.710823410598,6.72202247169363,12.6030492347948,12.5964107992645,303262.56026898,117322.580112095,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,57.1337598584915,12.5887348700461,6.7,-1411597.73695923 
 06/08  03:22:00,22.0166666666667,6.71082478757811,6.7220231263537,12.6027043759133,12.5971751612144,303262.149458467,117322.599677954,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,57.1338459213645,12.5892407792613,6.7,-1411721.13576803 
 06/08  03:23:00,22.0083333333333,6.71082619195709,6.72202386864724,12.6023424266918,12.5979538105568,303261.71831078,117322.619424796,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,57.1338109545978,12.5897633598993,6.7,-1411845.54049808 
 06/08  03:24:00,22.,6.71082762565495,6.72202469290593,12.6019557490516,12.5987359920417,303261.271337291,117322.639315334,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,57.1335360560355,12.5903021196214,6.7,-1411967.89384202 
 06/08  03:25:00,21.9916666666667,6.71082909028944,6.7220255907649,12.6015351728571,12.5995101798456,303260.811629737,117322.659322968,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,57.133232048446,12.5908558979954,6.7,-1412093.12660335 
 06/08  03:26:00,21.9833333333333,6.71083058704812,6.72202655730965,12.6011398786214,12.6002647049724,303260.341646132,117322.679428743,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,57.132753714966,12.5914228797964,6.7,-1412217.2139025 
 06/08  03:27:00,21.975,6.71083211657714,6.72202758410497,12.6006996955805,12.6009883498141,303259.960881513,117322.699619173,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,57.1323704797459,12.5920006464387,6.7,-1412346.23499535 
 06/08  03:28:00,21.9666666666667,6.71083367888527,6.72202867239956,12.6002698803542,12.6016708442333,303259.454845236,117322.719884684,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,57.1315698384886,12.592586255967,6.7,-1412466.81465074 
 06/08  03:29:00,21.9583333333333,6.71083527328258,6.72202981684031,12.5998030518335,12.6023032666904,303259.045473424,117322.740218495,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,57.1307982879109,12.5931763491948,6.7,-1412589.18439248 
 06/08  03:30:00,21.95,6.71083689834983,6.72203101499374,12.5993523734207,12.6028783018286,303258.516435581,117322.760615828,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,57.1299334302055,12.5937672704841,6.7,-1412709.44149736 
 06/08  03:31:00,21.9416666666667,6.710838551927,6.72203226442198,12.5988773933599,12.6033903795712,303258.088613168,117322.781073327,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,57.1290185438597,12.5943551896847,6.7,-1412827.73750551 
 06/08  03:32:00,21.9333333333333,6.7108402311366,6.72203356268991,12.5984140245178,12.6038356971557,303257.642275887,117322.801588658,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,57.1280883261299,12.5949362240809,6.7,-1412943.99960672 
 06/08  03:33:00,21.925,6.71084193242744,6.7220349092031,12.5979252497096,12.6042121441466,303257.181538097,117322.822160215,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,57.1270602239605,12.5955065495906,6.7,-1413055.26922394 
 06/08  03:34:00,21.9166666666667,6.71084365164007,6.72203630370421,12.5974365844267,12.6045191546595,303256.709232367,117322.84278691,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,57.1259320915324,12.5960624984551,6.7,-1413160.61362693 
 06/08  03:35:00,21.9083333333333,6.71084538408884,6.72203774690017,12.5969081027088,12.6047575081681,303256.227612731,117322.863468027,1.666666666666667E-002,1.666666666666667E-002,1.666666666666667E-002,39030.3769225229,36386.4853049432,15576.1716366527,26313.8198445735,57.1246565375071,12.5966006402374,6.7,-1413258.03767806 
